RANK,FILE,SCORE,TIME,MOVES
5,3,-3,859.6129440000011,49
0,6,-2,859.5917550000011,49
5,1,-3,859.570464000001,49
7,6,-11,859.5489990000011,49
4,1,0,859.5146940000011,49
5,2,-3,859.4932770000011,49
5,2,-3,859.457215000001,49
6,7,-10,859.4350880000011,49
4,5,0,859.4135290000011,49
1,3,36,859.391783000001,49
6,1,-14,859.369989000001,49
7,5,-25,859.3483180000011,49
4,7,0,859.326649000001,49
5,7,-2,859.2920200000011,49
7,5,-25,859.2706030000011,49
6,4,-22,859.235542000001,49
2,0,2,859.2139840000011,49
4,5,0,859.1792950000012,49
6,5,-25,859.1551930000012,49
3,3,1,859.1332460000011,49
7,7,-10,859.1121410000011,49
5,7,-2,859.0905300000012,49
1,5,15,859.0690470000012,49
6,3,-25,859.0476020000012,49
3,7,0,859.0128640000012,49
4,1,0,858.9906280000012,49
6,5,-25,858.9561650000012,49
7,4,-22,858.9345390000011,49
7,0,-10,858.9131630000012,49
3,3,1,858.8915520000012,49
3,3,1,858.8687040000011,49
0,6,-2,858.8472440000012,49
0,6,-2,858.8254800000011,49
6,1,-14,858.8039540000011,49
7,4,-22,858.7820750000011,49
5,3,-3,858.746430000001,49
7,0,-10,858.724688000001,49
2,0,2,858.6895550000011,49
1,2,20,858.6678850000011,49
4,4,-3,858.6442970000011,49
7,4,-22,858.6224170000012,49
6,2,-9,858.6006610000012,49
4,5,0,858.5784720000012,49
5,6,-3,858.5569750000012,49
5,5,-3,858.5217000000011,49
1,2,20,858.4998690000011,49
5,6,-3,858.4647180000011,49
6,1,-14,858.4429950000011,49
2,0,2,858.4080710000012,49
4,2,-3,858.3862610000012,49
5,3,-3,858.3629930000012,49
3,0,0,858.3413050000013,49
3,6,3,858.3192500000013,49
6,1,-14,858.2976040000013,49
1,3,36,858.2759680000014,49
4,4,-3,858.2410210000013,49
0,6,-2,858.2191670000013,49
7,3,-25,858.1835720000014,49
2,1,3,858.1618070000013,49
4,3,-3,858.1404240000014,49
3,6,3,858.1165520000014,49
3,6,3,858.0950270000013,49
5,3,-3,858.0733920000014,49
4,6,0,858.0515020000013,49
5,5,-3,858.0297490000013,49
3,6,3,858.0078740000014,49
6,2,-9,857.9730660000013,49
6,3,-25,857.9510480000013,49
2,6,-4,857.9159710000013,49
5,6,-3,857.8939930000013,49
7,7,-10,857.8575320000012,49
6,1,-14,857.8350910000013,49
4,0,0,857.8130550000013,49
7,6,-11,857.7911830000013,49
7,3,-25,857.7695940000013,49
3,6,3,857.7475300000013,49
2,1,3,857.7256290000014,49
1,2,20,857.7035670000014,49
4,6,0,857.6815960000015,49
1,2,20,857.6463450000015,49
6,6,-11,857.6242790000015,49
3,5,3,857.5878790000015,49
1,2,20,857.5661420000015,49
6,5,-25,857.5311610000015,49
7,5,-25,857.5087850000015,49
5,6,-3,857.4731400000015,49
7,1,-14,857.4511520000016,49
6,6,-11,857.4289660000017,49
7,5,-25,857.4067150000017,49
6,4,-22,857.3846600000016,49
3,7,0,857.3628400000016,49
6,0,-10,857.3382180000016,49
1,3,36,857.3160720000016,49
4,1,0,857.2937270000016,49
6,1,-14,857.2717050000015,49
3,3,1,857.2497080000014,49
7,2,-9,857.2273900000014,49
1,3,36,857.2031580000014,49
6,4,-22,857.1813070000014,49
6,0,-10,857.1587160000014,49
7,7,-10,857.1369300000014,49
6,2,-9,857.1132540000015,49
6,6,-11,857.0769770000014,49
7,2,-9,857.0547640000015,49
4,5,0,857.0190910000014,49
5,5,-3,856.9972960000014,49
